0.021032,-0.006099,-0.000119
0.044804,0.031479,0.008286
0.041481,0.028384,0.004888
0.019960,-0.006989,0.002234
0.045781,0.033388,0.009710
0.019723,-0.006042,-0.002075
0.028108,0.000606,-0.004570
0.043693,0.032282,0.007384
0.021958,-0.004876,-0.002995
0.045632,0.034766,0.009423
0.044888,0.034804,0.008759
0.025033,-0.002753,-0.003774
0.031774,0.006086,-0.004449
0.020365,-0.006625,-0.001507
0.044363,0.031818,0.007589
0.031056,0.004938,-0.005079
0.021246,-0.005390,-0.001680
0.023248,-0.004856,-0.001191
0.022257,-0.005045,-0.001791
0.020818,-0.006696,0.003164
0.023497,-0.004088,-0.002702
0.030770,0.004364,-0.005106
0.015315,-0.008635,-0.000613
0.042698,0.027431,0.008200
0.017822,-0.007718,0.000526
0.019251,-0.000076,-0.008993
0.045966,0.033709,0.010199
0.023078,-0.004700,-0.001373
0.032897,0.016768,0.007144
0.026282,-0.001860,-0.003878
0.020189,-0.001636,-0.007548
0.019742,-0.007175,0.002489
0.020559,-0.004706,-0.004188
0.021422,-0.005468,-0.002217
0.020300,-0.006471,0.000575
0.032228,0.006818,-0.002887
0.044711,0.031236,0.009569
0.045098,0.032416,0.008776
0.045792,0.033452,0.009964
0.044672,0.031905,0.008792
0.021018,-0.005711,-0.002426
0.024495,0.005237,-0.010322
0.046115,0.034805,0.009962
0.023115,-0.004911,-0.003222
0.021774,-0.005691,-0.000376
0.018388,-0.007118,-0.000176
0.020978,-0.005878,-0.002140
0.022228,-0.005014,-0.002526
0.044031,0.029619,0.008014
0.023936,-0.003257,-0.004067
0.019594,-0.006848,-0.000874
0.019836,-0.006867,0.000139
0.044178,0.031219,0.007516
0.016917,0.007655,-0.009394
0.020980,-0.006364,0.000535
0.018910,-0.007352,0.001522
0.042908,0.027988,0.006836
0.028244,0.007168,-0.004187
0.020147,-0.006300,-0.001647
0.045332,0.033218,0.010085
0.041338,0.024228,0.004587
0.017869,-0.007607,-0.000765
0.019985,-0.006431,-0.002007
0.045568,0.034778,0.009716
0.043063,0.028561,0.008661
0.046043,0.034587,0.010316
0.018293,-0.007497,0.000755
0.020662,-0.006424,0.000315
0.026776,-0.001185,-0.004123
0.021669,-0.005404,-0.001917
0.022841,-0.004598,-0.002001
0.044171,0.030030,0.008227
0.045985,0.034696,0.010180
0.027120,0.000755,-0.006306
